#ID	transcript_length	peptide_length	Fickett_score	pI	ORF_integrity	ORF_Start	coding_probability	label
ENST00000692544.2	909	198	0.40624999999999994	11.898945808410645	1	33	0.942423	coding
ENST00000422961.5	594	41	0.35933000000000004	9.492856788635255	1	148	0.0165282	noncoding
ENST00000426725.3	707	59	0.38545	11.903329658508298	1	128	0.045423	noncoding
ENST00000664922.3	849	57	0.36988999999999994	6.826954078674317	1	340	0.0283497	noncoding
SRR31451025.6313	1305	40	0.38271	11.789671897888184	1	711	0.0232915	noncoding
ENST00000653005.1	1556	40	0.41137999999999997	11.789671897888184	1	1019	0.029862	noncoding
SRR31451039.14519	573	120	0.43089000000000005	8.257578086853027	1	115	0.694642	coding
ENST00000394457.7	2384	138	0.31789	8.450660896301272	1	1845	0.383478	noncoding
ENST00000471542.5	1736	109	0.32487	8.31398792266846	1	1284	0.172763	noncoding
SRR31451025.74621	1116	152	0.30612	11.216032218933105	1	306	0.276478	noncoding
SRR31451029.161829	1192	54	0.36483	5.882801628112793	1	151	0.0284459	noncoding
SRR31451020.310417	1983	133	0.32265	9.89056224822998	1	1291	0.302096	noncoding
ENST00000331944.10	447	89	0.34656	9.033906364440917	-1	180	0.125585	noncoding
SRR31451025.260543	1530	369	0.45056	6.593857383728028	1	236	1	coding
ENST00000492167.1	400	116	0.34003	4.8532201766967775	-1	53	0.0616055	noncoding
ENST00000473726.1	382	117	0.35982000000000003	4.5278169631958	-1	32	0.0538812	noncoding
ENST00000692653.2	1264	87	0.39869	7.8273805618286145	1	632	0.170423	noncoding
ENST00000609777.7	1206	87	0.37818999999999997	7.8273805618286145	1	574	0.133701	noncoding
ENST00000689711.2	534	73	0.38358000000000003	6.37371997833252	-1	316	0.0361599	noncoding
ENST00000467292.7	1055	49	0.3959	4.780409431457519	1	209	0.0471272	noncoding
SRR31451018.67156	876	189	0.4563	5.701542091369629	1	87	0.998221	coding
SRR31451024.108798	996	176	0.36103999999999997	6.1820589065551745	1	138	0.966514	coding
SRR31451032.71022	900	142	0.36777	7.714779090881348	1	7	0.712163	coding
SRR31451034.87901	885	49	0.35568	4.780409431457519	1	149	0.0316743	noncoding
SRR31451029.172838	1371	80	0.33595	9.560870933532716	1	227	0.0678454	noncoding
SRR31451019.110576	616	69	0.39187	6.706000709533691	1	75	0.0700617	noncoding
SRR31451025.356406	868	102	0.31512000000000007	8.880278205871583	1	59	0.117801	noncoding
SRR31451029.175098	751	63	0.29111000000000004	6.899878501892091	1	170	0.0285759	noncoding
ENST00000416008.2	559	41	0.33638	9.648290061950682	1	295	0.0157533	noncoding
ENST00000666200.1	1454	104	0.28648	10.597006797790527	1	928	0.0942104	noncoding
ENST00000454729.2	737	54	0.38004	7.671297264099122	1	435	0.0255127	noncoding
ENST00000702984.1	689	74	0.41828	9.493888282775881	1	5	0.134691	noncoding
ENST00000443988.7	706	54	0.35563999999999996	7.671297264099122	1	407	0.0209841	noncoding
ENST00000447876.5	607	54	0.37471	7.671297264099122	1	308	0.0243516	noncoding
SRR31451025.41467	791	54	0.35065	7.671297264099122	1	492	0.0202946	noncoding
SRR31451031.80828	623	54	0.40377	7.671297264099122	1	336	0.0319639	noncoding
SRR31451035.52870	666	54	0.33843	7.671297264099122	1	379	0.0189244	noncoding
SRR31451039.42063	651	54	0.33762000000000003	7.671297264099122	1	379	0.0188493	noncoding
ENST00000413121.7	575	54	0.41965	7.671297264099122	1	329	0.0375079	noncoding
SRR31451040.76262	625	54	0.33762000000000003	7.671297264099122	1	379	0.0188493	noncoding
SRR31451020.239578	1210	50	0.33808	10.50668659210205	1	857	0.0267917	noncoding
SRR31451018.149374	917	57	0.34822	10.407856559753416	1	45	0.0356415	noncoding
SRR31451017.225322	1141	50	0.35194	10.50668659210205	1	804	0.0285824	noncoding
SRR31451020.219296	1694	50	0.33871999999999997	10.50668659210205	1	1357	0.02686	noncoding
SRR31451025.313530	1506	57	0.32632	10.407856559753416	1	643	0.0318227	noncoding
SRR31451029.159399	899	50	0.36741999999999997	10.50668659210205	1	584	0.0314425	noncoding
ENST00000409569.2	458	53	0.36958	5.964024543762207	1	204	0.0272526	noncoding
ENST00000674045.1	426	53	0.44049	5.964024543762207	1	178	0.0505647	noncoding
SRR31451029.127865	2314	148	0.343	7.716256904602051	1	305	0.664245	coding
SRR31451024.86836	2193	148	0.36655	7.716256904602051	1	184	0.767683	coding
SRR31451025.333708	2193	148	0.36655	7.716256904602051	1	184	0.767683	coding
SRR31451028.113641	1702	99	0.40701000000000004	4.093794441223144	1	622	0.726973	coding
SRR31451025.245981	1470	99	0.45271999999999996	4.093794441223144	1	390	0.794285	coding
SRR31451019.143727	1221	265	0.44952000000000003	4.689012336730956	1	137	0.999995	coding
SRR31451019.19538-1	1191	99	0.40856	4.093794441223144	1	111	0.731576	coding
SRR31451030.47881-1	657	84	0.44709000000000004	6.583626365661622	1	253	0.263619	noncoding
SRR31451037.94186	454	84	0.37263999999999997	6.583626365661622	1	23	0.128974	noncoding
ENST00000391616.3	1057	81	0.32145	10.560711097717284	1	175	0.0661855	noncoding
ENST00000416673.6	990	81	0.3474	10.560711097717284	1	211	0.08301	noncoding
ENST00000413904.6	1055	65	0.37636000000000003	6.88845386505127	1	171	0.0463162	noncoding
ENST00000423905.5	1951	63	0.34174000000000004	9.427872657775882	1	1010	0.0364453	noncoding
SRR31451030.24149	652	80	0.47690999999999995	4.671108055114746	1	85	0.357575	noncoding
SRR31451025.373063	3124	305	0.47811000000000003	7.647254371643067	1	1313	0.999998	coding
SRR31451024.147474	2241	305	0.46236	7.647254371643067	1	180	0.999997	coding
SRR31451029.119285	2852	231	0.34169	10.395478630065917	1	1618	0.952393	coding
SRR31451025.242014	2027	284	0.45891	7.080001258850097	1	145	0.999992	coding
SRR31451028.10386	1608	231	0.37169	10.395478630065917	1	374	0.984365	coding
SRR31451027.141881	1596	231	0.37169	10.395478630065917	1	362	0.984365	coding
SRR31451020.49878	833	56	0.44880000000000003	8.682618141174316	1	70	0.0690844	noncoding
ENST00000426965.1	349	45	0.37309	6.377926063537598	1	180	0.0159185	noncoding
ENST00000703418.1	1073	72	0.40049	7.7938570022583	1	275	0.0823794	noncoding
ENST00000295549.9	1251	88	0.37893	7.733990669250488	1	405	0.142012	noncoding
SRR31451020.59851	1350	72	0.38705	7.7938570022583	1	554	0.0708216	noncoding
SRR31451025.330216	804	72	0.42027000000000003	7.7938570022583	1	257	0.10306	noncoding
SRR31451025.74241	625	86	0.38959	5.346127891540527	1	14	0.262424	noncoding
ENST00000420509.1	1051	55	0.31857	9.38151988983154	1	135	0.0235978	noncoding
ENST00000417355.1	311	21	0.44038	9.700380516052245	1	230	0.0129972	noncoding
SRR31451024.100285	1095	33	0.2933	11.999967765808105	1	497	0.0209289	noncoding
SRR31451021.127818	344	69	0.36569	6.483248710632325	1	88	0.0559211	noncoding
ENST00000619671.1	706	83	0.31949	6.142612648010252	1	244	0.0878166	noncoding
ENST00000688502.1	772	58	0.37267	10.129224205017088	1	479	0.0429076	noncoding
ENST00000585797.6	458	48	0.34197	8.23146839141846	1	83	0.0154154	noncoding
SRR31451025.193598	674	60	0.41441999999999996	7.981717872619629	1	24	0.0509885	noncoding
SRR31451021.45434	483	58	0.40576	10.129224205017088	1	190	0.0605674	noncoding
SRR31451022.28991	1141	49	0.31516000000000005	4.441933250427247	1	518	0.0347171	noncoding
ENST00000661680.2	1274	81	0.34153999999999995	9.236337089538573	1	509	0.0721307	noncoding
ENST00000657659.2	1454	81	0.30862	9.236337089538573	1	689	0.0548709	noncoding
SRR31451017.150133	1568	80	0.33783	6.3648530960083	1	970	0.0793188	noncoding
SRR31451028.102807	946	123	0.35028000000000004	9.407436180114747	1	36	0.343749	noncoding
ENST00000651681.3	1388	123	0.34521	9.407436180114747	1	478	0.32286	noncoding
SRR31451020.13861	959	123	0.35531999999999997	9.407436180114747	1	61	0.365447	noncoding
ENST00000588763.5	532	46	0.33432	7.76229648590088	1	308	0.0128418	noncoding
SRR31451017.203494	2328	143	0.28337	11.40963077545166	1	11	0.168012	noncoding
ENST00000593284.5	667	62	0.3983	10.706087303161617	1	227	0.0696044	noncoding
ENST00000531692.1	397	58	0.44227999999999995	11.183411216735841	-1	224	0.151785	noncoding
SRR31451022.9295	545	83	0.44158000000000003	10.125807380676267	1	103	0.293303	noncoding
SRR31451019.49324	551	83	0.44158000000000003	10.125807380676267	1	109	0.293303	noncoding
SRR31451031.113245	674	186	0.46307000000000004	8.69041881561279	-1	117	0.230867	noncoding
ENST00000527780.7	1347	447	0.45836	8.430482292175295	-1	7	0.904839	coding
SRR31451020.245692	964	159	0.45006999999999997	8.81445598602295	-1	488	0.169829	noncoding
ENST00000596287.6	1375	118	0.39748999999999995	8.490244483947755	1	631	0.519429	coding
SRR31451025.37590	677	43	0.37934	8.231017112731934	1	82	0.0151706	noncoding
ENST00000595794.5	1295	118	0.39053	8.490244483947755	1	608	0.486901	noncoding
SRR31451032.56049	1231	118	0.37110999999999994	8.490244483947755	1	544	0.398546	noncoding
ENST00000693315.1	1349	118	0.37512999999999996	8.490244483947755	1	662	0.416323	noncoding
ENST00000641834.2	1371	118	0.37512999999999996	8.490244483947755	1	684	0.416323	noncoding
ENST00000598755.1	664	120	0.36473	11.999967765808105	1	104	0.222392	noncoding
ENST00000495307.5	2063	242	0.3686	9.405888938903807	1	960	0.994203	coding
SRR31451017.101081	1027	64	0.36374	8.37910099029541	-1	834	0.0765343	noncoding
SRR31451040.25848	1028	65	0.36374	8.37910099029541	-1	834	0.0770773	noncoding
ENST00000586822.3	1310	71	0.34499	7.928918266296388	1	235	0.0443558	noncoding
ENST00000654200.1	605	70	0.41215	9.414205360412598	1	75	0.102057	noncoding
ENST00000691191.1	1404	71	0.32253	7.928918266296388	1	329	0.0377767	noncoding
ENST00000585445.1	1491	71	0.31292	7.928918266296388	1	416	0.0360225	noncoding
ENST00000669162.2	1487	71	0.29631	7.928918266296388	1	412	0.0345183	noncoding
ENST00000592146.4	698	70	0.38512	9.414205360412598	1	151	0.0735292	noncoding
ENST00000685306.1	778	70	0.34532	9.414205360412598	1	248	0.0494207	noncoding
ENST00000586091.8	701	70	0.37839999999999996	9.414205360412598	1	171	0.06825	noncoding
ENST00000693493.2	617	70	0.43027	9.414205360412598	1	87	0.130135	noncoding
ENST00000652407.1	1873	63	0.37532	8.573988914489746	1	1442	0.0422662	noncoding
SRR31451023.81212	403	56	0.37782	5.4018869400024405	1	149	0.0434105	noncoding
SRR31451025.323922	403	56	0.37782	5.4018869400024405	1	149	0.0434105	noncoding
SRR31451033.80830	449	56	0.31818	5.4018869400024405	1	195	0.0307503	noncoding
ENST00000669440.2	394	62	0.35312999999999994	6.024444389343262	1	122	0.038744	noncoding
SRR31451021.88604	330	56	0.43255000000000005	5.4018869400024405	1	79	0.0724387	noncoding
SRR31451035.83783	370	56	0.38268	5.4018869400024405	1	119	0.0456281	noncoding
SRR31451032.72036	425	56	0.35556	5.4018869400024405	1	174	0.0354449	noncoding
SRR31451040.126713	425	56	0.35556	5.4018869400024405	1	174	0.0354449	noncoding
SRR31451042.53996	430	56	0.35807999999999995	5.4018869400024405	1	179	0.0361588	noncoding
SRR31451027.246477	563	115	0.45972	10.255453300476074	-1	217	0.178324	noncoding
SRR31451036.71404-4	911	122	0.40671	10.286333656311033	1	199	0.586236	coding
SRR31451031.46046	661	84	0.41881	6.583626365661622	1	130	0.212252	noncoding
SRR31451039.29878	778	94	0.4331	4.541230964660645	1	486	0.640111	coding
SRR31451025.226622	1545	265	0.47097999999999995	4.689012336730956	1	454	0.999995	coding
SRR31451031.107358	1576	265	0.45404999999999995	4.689012336730956	1	491	0.999995	coding
SRR31451030.47881	657	84	0.43796	6.583626365661622	1	253	0.248798	noncoding
ENST00000448629.8	1711	83	0.32836	9.184504508972168	1	1377	0.0684216	noncoding
ENST00000647831.1	2846	159	0.29152	4.822015571594237	1	387	0.909752	coding
ENST00000641325.1	2327	111	0.29092	8.492694282531737	1	727	0.131066	noncoding
ENST00000447600.1	367	22	0.41447	11.000256538391113	-1	302	0.122891	noncoding
SRR31451020.49971	1334	112	0.45402	4.338315773010254	1	81	0.885718	coding
ENST00000639481.1	1092	42	0.44228	4.188601875305175	1	53	0.0638794	noncoding
SRR31451024.244118	870	64	0.46526000000000006	11.825258445739745	1	123	0.20594	noncoding
ENST00000660464.3	516	46	0.34520999999999996	10.745670890808107	1	275	0.0248244	noncoding
ENST00000650259.1	229	53	0.4294	9.86026210784912	1	36	0.06183	noncoding
ENST00000648127.1	742	63	0.39146	4.629729270935059	1	461	0.114221	noncoding
ENST00000692541.1	581	63	0.35163999999999995	4.629729270935059	1	303	0.0749504	noncoding
ENST00000671661.1	834	76	0.38273999999999997	5.756903266906738	1	235	0.123508	noncoding
ENST00000423995.5	1116	140	0.33659	8.280851173400883	1	548	0.502746	coding
ENST00000468598.5	1716	95	0.36224999999999996	7.667091178894044	1	85	0.160997	noncoding
ENST00000466213.5	1818	95	0.32863	7.667091178894044	1	192	0.111687	noncoding
ENST00000642067.1	1039	113	0.34926	8.43680019378662	1	447	0.263129	noncoding
ENST00000456813.3	614	79	0.4196	6.008472633361816	1	304	0.193547	noncoding
SRR31451017.100346	1483	67	0.31806	11.554555702209473	1	197	0.0422269	noncoding
SRR31451019.93819	813	50	0.37592000000000003	4.94512882232666	1	493	0.0370306	noncoding
ENST00000361764.9	811	77	0.32239	6.7120256423950195	1	155	0.0566854	noncoding
ENST00000370940.8	769	122	0.39720999999999995	9.538693809509276	1	109	0.554421	coding
ENST00000463058.7	806	77	0.40852	6.7120256423950195	1	98	0.12976	noncoding
ENST00000359875.10	605	56	0.33511	9.555971336364745	1	25	0.0272815	noncoding
ENST00000528692.1	362	41	0.32015	9.86026210784912	1	217	0.0162582	noncoding
ENST00000659034.3	666	75	0.36175999999999997	4.800700950622559	1	201	0.145197	noncoding
ENST00000659935.1	942	111	0.36341999999999997	9.097214317321779	1	568	0.283943	noncoding
ENST00000438509.3	955	129	0.36807	9.235563468933105	1	557	0.496912	noncoding
SRR31451027.93874	535	129	0.36718	9.235563468933105	1	107	0.492382	noncoding
ENST00000654574.3	598	87	0.38346	9.753889274597167	1	318	0.153002	noncoding
ENST00000658759.1	1721	58	0.36527	8.801820182800295	1	856	0.0315278	noncoding
SRR31451025.47063	836	71	0.31841	9.37913455963135	1	156	0.0418633	noncoding
ENST00000617318.4	790	63	0.39980999999999994	10.320695304870604	1	571	0.0720674	noncoding
SRR31451019.100375	1147	78	0.28948	9.098697090148928	1	151	0.0451561	noncoding
ENST00000621058.5	711	46	0.36304	10.246943473815914	1	465	0.0249807	noncoding
SRR31451039.128136	1115	145	0.41363	6.222073554992675	1	526	0.931084	coding
SRR31451041.70257	978	145	0.43661	6.222073554992675	1	389	0.950337	coding
SRR31451024.62894	784	145	0.45079	6.222073554992675	1	350	0.956849	coding
SRR31451033.10090	465	74	0.44631	6.835593605041503	1	89	0.151962	noncoding
SRR31451025.54916	1526	61	0.35872000000000004	9.57073459625244	1	970	0.0392827	noncoding
ENST00000452399.6	550	74	0.40084000000000003	6.478417396545409	-1	327	0.0346167	noncoding
ENST00000692166.2	673	54	0.40576	11.82919101715088	1	341	0.0481127	noncoding
ENST00000692403.1	597	54	0.37853	11.82919101715088	1	263	0.0368208	noncoding
SRR31451027.55071	451	54	0.38832999999999995	11.82919101715088	1	119	0.0399973	noncoding
ENST00000660431.1	668	28	0.35466	11.330850410461426	1	27	0.0144531	noncoding
ENST00000358206.4	896	210	0.34503	6.585843086242675	1	39	0.989332	coding
ENST00000629702.3	726	78	0.36105	6.557253074645996	1	251	0.0843078	noncoding
ENST00000613452.1	1049	70	0.44206999999999996	10.385872840881348	1	402	0.180061	noncoding
ENST00000668239.1	809	63	0.42631	10.008732795715332	1	590	0.0983135	noncoding
SRR31451017.167100	1062	142	0.43864000000000003	4.931430625915527	1	200	0.973012	coding
ENST00000313342.8	1294	311	0.41107	5.937082862854004	1	113	0.999998	coding
SRR31451040.135193	538	141	0.41226999999999997	4.931430625915527	-1	116	0.091316	noncoding
ENST00000618702.1	1660	158	0.3803	6.896922874450684	1	100	0.914869	coding
SRR31451025.380260	665	40	0.32439	10.774036979675294	1	448	0.0196635	noncoding
ENST00000620190.1	1237	42	0.27462000000000003	6.069460868835448	1	897	0.0179574	noncoding
SRR31451020.192368	803	34	0.25927	8.365433692932132	1	468	0.013022	noncoding
SRR31451023.101922	302	40	0.36793	10.774036979675294	1	85	0.0221246	noncoding
SRR31451020.236745	454	45	0.35353	10.246943473815914	1	222	0.0228022	noncoding
SRR31451036.34352	530	40	0.29385	10.774036979675294	1	299	0.0210281	noncoding
SRR31451021.132293	323	46	0.36834	10.246943473815914	1	88	0.0258275	noncoding
SRR31451019.79396	385	40	0.33191	10.774036979675294	1	168	0.0197535	noncoding
ENST00000455503.2	497	77	0.32577999999999996	6.050419807434082	1	78	0.0701284	noncoding
SRR31451042.67961	1288	89	0.41634000000000004	8.50990734100342	1	722	0.231824	noncoding
SRR31451039.38104	1065	79	0.43384	10.545754432678223	1	635	0.230051	noncoding
SRR31451038.44624	1033	79	0.39371	10.545754432678223	1	603	0.130293	noncoding
ENST00000453136.6	1066	136	0.37076	7.664135551452637	1	351	0.660025	coding
ENST00000685687.1	1445	198	0.34701000000000004	9.134863853454593	1	544	0.928893	coding
ENST00000702699.1	661	79	0.38689	10.545754432678223	1	231	0.119581	noncoding
SRR31451030.17582	792	151	0.44845	9.656348609924319	1	267	0.949304	coding
SRR31451020.237179	1217	171	0.46809999999999996	6.69150676727295	1	245	0.991458	coding
SRR31451031.114325	865	136	0.44208	7.664135551452637	1	150	0.883212	coding
SRR31451017.169062	1231	83	0.33941	8.140052223205569	1	448	0.0723588	noncoding
SRR31451029.164023	3088	113	0.3036	7.054366874694824	1	1183	0.206703	noncoding
SRR31451027.26781	652	176	0.48575	5.203234672546387	1	9	0.996211	coding
SRR31451025.291765	630	166	0.47433000000000003	10.262029075622557	-1	132	0.291821	noncoding
SRR31451022.6863	943	82	0.37115	4.352980232238769	1	79	0.28694	noncoding
SRR31451020.195461	876	82	0.39286	4.352980232238769	1	6	0.358269	noncoding
ENST00000701195.1	786	110	0.38466	8.768232154846192	1	183	0.356356	noncoding
SRR31451025.370322	624	66	0.38265	10.182475090026855	1	351	0.0664447	noncoding
SRR31451029.116944	734	66	0.34667	10.182475090026855	1	461	0.0476192	noncoding
SRR31451027.228336	513	66	0.38011999999999996	10.182475090026855	1	240	0.0646802	noncoding
SRR31451037.19953	870	75	0.33675	8.493919181823731	1	376	0.0507634	noncoding
SRR31451042.68701	737	66	0.30541	10.182475090026855	1	464	0.037728	noncoding
SRR31451019.28237	769	140	0.32807000000000003	9.399313163757324	1	80	0.40445	noncoding
SRR31451024.142257	539	66	0.35929	10.182475090026855	1	266	0.0528776	noncoding
SRR31451040.140752	513	66	0.40238	10.182475090026855	1	242	0.0835425	noncoding
SRR31451024.116020	771	66	0.31113	10.182475090026855	1	500	0.0384831	noncoding
ENST00000464238.6	907	102	0.28819000000000006	7.668568992614747	1	306	0.109835	noncoding
SRR31451022.105252	653	66	0.36357	10.182475090026855	1	383	0.0549535	noncoding
ENST00000471156.6	812	66	0.37898999999999994	10.182475090026855	1	542	0.0639185	noncoding
ENST00000310027.10	746	66	0.30684	10.182475090026855	1	476	0.0378977	noncoding
ENST00000497822.6	643	66	0.36297999999999997	10.182475090026855	1	375	0.0546577	noncoding
SRR31451037.4797	759	66	0.37595	10.182475090026855	1	491	0.0619463	noncoding
ENST00000497824.5	720	66	0.42587	10.182475090026855	1	452	0.114912	noncoding
ENST00000498346.1	457	66	0.35877000000000003	10.182475090026855	1	192	0.0526362	noncoding
SRR31451041.263	591	66	0.30547	10.182475090026855	1	326	0.0377349	noncoding
SRR31451037.124248	382	66	0.45039999999999997	10.182475090026855	1	117	0.168658	noncoding
SRR31451017.44362	531	66	0.31259000000000003	10.182475090026855	1	266	0.0387081	noncoding
SRR31451023.24203	419	66	0.42723000000000005	10.182475090026855	1	154	0.117234	noncoding
SRR31451039.148980	556	72	0.36385	8.90638790130615	1	79	0.0598108	noncoding
SRR31451028.100605	676	102	0.30162	7.668568992614747	1	81	0.117733	noncoding
SRR31451022.14366	427	66	0.41119	10.182475090026855	1	162	0.0935931	noncoding
SRR31451030.131009	427	66	0.41119	10.182475090026855	1	162	0.0935931	noncoding
SRR31451018.19087	428	66	0.41119	10.182475090026855	1	163	0.0935931	noncoding
SRR31451037.140875	563	66	0.33645	10.182475090026855	1	298	0.0441913	noncoding
SRR31451040.174282	451	66	0.39114	10.182475090026855	1	186	0.0730171	noncoding
SRR31451032.63202	453	66	0.39114	10.182475090026855	1	188	0.0730171	noncoding
SRR31451017.228928	504	66	0.33368	10.182475090026855	1	239	0.0433784	noncoding
SRR31451022.26312	610	105	0.30609	6.989740943908691	1	6	0.159214	noncoding
SRR31451027.35868	633	105	0.31012	6.989740943908691	1	29	0.163483	noncoding
SRR31451020.359108	550	75	0.3573	8.493919181823731	1	64	0.0614586	noncoding
SRR31451017.64008	832	66	0.34784000000000004	10.182475090026855	1	567	0.0480568	noncoding
SRR31451028.118649	626	66	0.31445999999999996	10.182475090026855	1	361	0.039015	noncoding
SRR31451036.883	604	66	0.30826	10.182475090026855	1	339	0.0380789	noncoding
SRR31451020.214250	466	66	0.37690999999999997	10.182475090026855	1	201	0.0625572	noncoding
SRR31451037.116291	605	66	0.32799	10.182475090026855	1	340	0.0418564	noncoding
SRR31451031.61117	533	66	0.32982999999999996	10.182475090026855	1	268	0.0423271	noncoding
