miRNA	target_accession	score	acc_clean	SYMBOL	ENTREZID
hsa-miR-3185	NM_182769	80.4591	NM_182769	CREM	1390
hsa-miR-3185	NM_001272101	83.0311322968	NM_001272101	MMP19	4327
hsa-miR-3185	NM_001320263	84.8844288286309	NM_001320263	AP3M1	26985
hsa-miR-3185	NM_000944	82.5780973675	NM_000944	PPP3CA	5530
hsa-miR-3185	NM_001355	81.1425919186	NM_001355	DDT	1652
hsa-miR-3185	NM_002976	92.49509	NM_002976	SCN7A	6332
hsa-miR-3185	NM_182969	90.21741	NM_182969	XRRA1	143570
hsa-miR-3185	NM_152330	88.8039	NM_152330	FRMD6	122786
hsa-miR-3185	NM_014795	85.6730694104414	NM_014795	ZEB2	9839
hsa-miR-3185	NM_001323556	87.8836	NM_001323556	EFR3A	23167
hsa-miR-3185	NM_001197238	83.5893579312	NM_001197238	BTN2A2	10385
hsa-miR-3185	NM_001321949	93.449558266	NM_001321949	FGF14	2259
hsa-miR-3185	NM_001013439	81.5424305841566	NM_001013439	FXR1	8087
hsa-miR-3185	NM_001113178	95.7653997660158	NM_001113178	NFAT5	10725
hsa-miR-3185	NM_006947	85.1821309738	NM_006947	SRP72	6731
hsa-miR-3185	NM_001039937	96.70236183037	NM_001039937	INTS6	26512
hsa-miR-3185	NM_001270381	90.21741	NM_001270381	XRRA1	143570
hsa-miR-3185	NM_001159770	90.917446106	NM_001159770	SLC39A11	201266
hsa-miR-3185	NM_001312911	81.9415	NM_001312911	FAM111A	63901
hsa-miR-3185	NM_000429	83.0532	NM_000429	MAT1A	4143
hsa-miR-3185	NM_014155	85.1662138174	NM_014155	ZBTB44	29068
hsa-miR-3185	NM_001300940	93.3638108619	NM_001300940	KICS2	144577
hsa-miR-3185	NM_005940	92.5803752968679	NM_005940	MMP11	4320
hsa-miR-3185	NM_001284280	83.7885	NM_001284280	PPP4R3A	55671
hsa-miR-3185	NM_001256829	90.2859	NM_001256829	TMEM265	100862671
hsa-miR-3185	NM_002145	94.7410707205	NM_002145	HOXB2	3212
hsa-miR-3185	NM_000089	99.2272039048365	NM_000089	COL1A2	1278
hsa-miR-3185	NM_015678	90.2517840274	NM_015678	NBEA	26960
hsa-miR-3185	NM_002943	84.4022612111504	NM_002943	RORA	6095
hsa-miR-3185	NM_000644	87.6886863655	NM_000644	AGL	178
hsa-miR-3185	NM_001011543	95.3884888369806	NM_001011543	MAGEA10	4109
hsa-miR-3185	NM_001321934	93.449558266	NM_001321934	FGF14	2259
hsa-miR-3185	NM_001011513	81.7940721362795	NM_001011513	PDLIM5	10611
hsa-miR-3185	NM_152795	82.5051736085586	NM_152795	HIF3A	64344
hsa-miR-3185	NM_148898	98.6980821868873	NM_148898	FOXP2	93986
hsa-miR-3185	NM_144657	89.8471191994454	NM_144657	HDX	139324
hsa-miR-3185	NM_001321944	93.449558266	NM_001321944	FGF14	2259
hsa-miR-3185	NM_173214	95.7653997660158	NM_173214	NFAT5	10725
hsa-miR-3185	NM_001258449	90.58124	NM_001258449	PKD2L2	27039
hsa-miR-3185	NM_001080416	89.576	NM_001080416	MYBL1	4603
hsa-miR-3185	NM_198124	89.8090211474	NM_198124	CSMD3	114788
hsa-miR-3185	NM_001243745	82.3201	NM_001243745	CROT	54677
hsa-miR-3185	NM_001040453	87.2895341718748	NM_001040453	MINDY2	54629
hsa-miR-3185	NM_001128923	90.05921	NM_001128923	SH3D19	152503
hsa-miR-3185	NM_001256425	81.7940721362795	NM_001256425	PDLIM5	10611
hsa-miR-3185	NM_032826	83.273356890947	NM_032826	SLC35B4	84912
hsa-miR-3185	NM_183060	80.4591	NM_183060	CREM	1390
hsa-miR-3185	NM_000028	87.6886863655	NM_000028	AGL	178
hsa-miR-3185	NM_139177	90.917446106	NM_139177	SLC39A11	201266
hsa-miR-3185	NM_006618	82.3690635875687	NM_006618	KDM5B	10765
hsa-miR-3185	NM_138734	87.7984542356	NM_138734	NRXN2	9379
hsa-miR-3185	NM_152794	82.5051736085586	NM_152794	HIF3A	64344
hsa-miR-3185	NM_001244014	82.9538139304	NM_001244014	PIANP	196500
hsa-miR-3185	NM_001304998	84.7577355175	NM_001304998	TMEM170A	124491
hsa-miR-3185	NM_006902	93.3685606972298	NM_006902	PRRX1	5396
hsa-miR-3185	NM_001160132	80.2601457298287	NM_001160132	KCNQ5	56479
hsa-miR-3185	NM_001177478	92.3628752842863	NM_001177478	HDX	139324
hsa-miR-3185	NM_003966	91.8989322734163	NM_003966	SEMA5A	9037
hsa-miR-3185	NM_004728	88.0726390630462	NM_004728	DDX21	9188
hsa-miR-3185	NM_052900	94.4806568945	NM_052900	CSMD3	114788
hsa-miR-3185	NM_001267047	88.8039	NM_001267047	FRMD6	122786
hsa-miR-3185	NM_005264	90.8250674115466	NM_005264	GFRA1	2674
hsa-miR-3185	NM_004863	92.4824708202787	NM_004863	SPTLC2	9517
hsa-miR-3185	NM_001323554	87.8836	NM_001323554	EFR3A	23167
hsa-miR-3185	NM_001318893	84.5522	NM_001318893	ZNF184	7738
hsa-miR-3185	NM_001320265	84.8844288286309	NM_001320265	AP3M1	26985
hsa-miR-3185	NM_001281805	81.9538243966	NM_001281805	FSD2	123722
hsa-miR-3185	NM_139071	85.7828946619	NM_139071	SMARCD1	6602
hsa-miR-3185	NM_001114614	90.11469	NM_001114614	MFGE8	4240
hsa-miR-3185	NM_005181	92.4485	NM_005181	CA3	761
hsa-miR-3185	NM_001077484	84.0441858231191	NM_001077484	SLC38A1	81539
hsa-miR-3185	NM_001321729	99.7290884737923	NM_001321729	EXOC6B	23233
hsa-miR-3185	NM_006099	84.9405	NM_006099	PIAS3	10401
hsa-miR-3185	NM_006466	80.5786354058	NM_006466	POLR3F	10621
hsa-miR-3185	NM_001272012	81.9365	NM_001272012	ITPRIP	85450
hsa-miR-3185	NM_001267563	80.4591	NM_001267563	CREM	1390
hsa-miR-3185	NM_001319652	83.2275046702	NM_001319652	OSBPL8	114882
hsa-miR-3185	NM_001310321	90.11469	NM_001310321	MFGE8	4240
hsa-miR-3185	NM_000082	85.3961	NM_000082	ERCC8	1161
hsa-miR-3185	NM_171998	83.9545615665	NM_171998	RAB39B	116442
hsa-miR-3185	NM_005109	84.5648807454488	NM_005109	OXSR1	9943
hsa-miR-3185	NM_001102371	87.5113671891364	NM_001102371	FOXRED2	80020
hsa-miR-3185	NM_138300	84.611896048	NM_138300	PYGO2	90780
hsa-miR-3185	NM_001283041	81.6198	NM_001283041	USP25	29761
hsa-miR-3185	NM_001321703	80.6844229539005	NM_001321703	NCOA2	10499
hsa-miR-3185	NM_138959	89.8747141222657	NM_138959	VANGL1	81839
hsa-miR-3185	NM_005590	85.3720685307534	NM_005590	MRE11	4361
hsa-miR-3185	NM_001321936	93.449558266	NM_001321936	FGF14	2259
hsa-miR-3185	NM_001100164	91.3230091860068	NM_001100164	PHACTR2	9749
hsa-miR-3185	NM_145808	81.9205	NM_145808	MTPN	136319
hsa-miR-3185	NM_152750	85.5674438239	NM_152750	CDHR3	222256
hsa-miR-3185	NM_001313915	94.84481	NM_001313915	EIF2AK3	9451
hsa-miR-3185	NM_199439	99.7819742836675	NM_199439	PRDM10	56980
hsa-miR-3185	NM_001145714	84.6799728476908	NM_001145714	SAE1	10055
hsa-miR-3185	NM_001321946	93.449558266	NM_001321946	FGF14	2259
hsa-miR-3185	NM_001267562	80.4591	NM_001267562	CREM	1390
hsa-miR-3185	NM_001323557	87.8836	NM_001323557	EFR3A	23167
hsa-miR-3185	NM_001178094	87.5287916376245	NM_001178094	BCAT1	586
hsa-miR-3185	NM_182719	80.4591	NM_182719	CREM	1390
hsa-miR-3185	NM_001040450	87.2895341718748	NM_001040450	MINDY2	54629
hsa-miR-3185	NM_001171653	87.7210251524659	NM_001171653	ZEB2	9839
hsa-miR-3185	NM_001300842	86.2526	NM_001300842	SLC10A7	84068
hsa-miR-3185	NM_001244666	89.7208	NM_001244666	STX5	6811
hsa-miR-3185	NM_175929	93.449558266	NM_175929	FGF14	2259
hsa-miR-3185	NM_002022	85.0473	NM_002022	FMO4	2329
hsa-miR-3185	NM_001160134	80.2601457298287	NM_001160134	KCNQ5	56479
hsa-miR-3185	NM_001983	99.8861297219859	NM_001983	ERCC1	2067
hsa-miR-3185	NM_001322796	84.3907	NM_001322796	IDE	3416
hsa-miR-3185	NM_001032296	91.0708899625	NM_001032296	STK24	8428
hsa-miR-3185	NM_022716	87.8446853375074	NM_022716	PRRX1	5396
hsa-miR-3185	NM_001267722	85.1821309738	NM_001267722	SRP72	6731
hsa-miR-3185	NM_001039615	84.8119674011137	NM_001039615	ZNF705D	728957
hsa-miR-3185	NM_001010852	96.0441038643639	NM_001010852	CLVS2	134829
hsa-miR-3185	NM_003076	85.7828946619	NM_003076	SMARCD1	6602
hsa-miR-3185	NM_001172309	86.3081	NM_001172309	NEXN	91624
hsa-miR-3185	NM_001009894	94.4484272341219	NM_001009894	RLIG1	91298
hsa-miR-3185	NM_178566	82.4429359352	NM_178566	ZDHHC21	340481
hsa-miR-3185	NM_001318891	84.5522	NM_001318891	ZNF184	7738
hsa-miR-3185	NM_207012	84.8844288286309	NM_207012	AP3M1	26985
hsa-miR-3185	NM_005504	87.5287916376245	NM_005504	BCAT1	586
hsa-miR-3185	NM_001317816	86.3904	NM_001317816	SLC10A7	84068
hsa-miR-3185	NM_005020	95.4562446005686	NM_005020	PDE1C	5137
hsa-miR-3185	NM_001142520	81.9415	NM_001142520	FAM111A	63901
hsa-miR-3185	NM_001319238	84.6259739935	NM_001319238	ZC3H11A	9877
hsa-miR-3185	NM_001178093	87.5287916376245	NM_001178093	BCAT1	586
hsa-miR-3185	NM_005848	98.031834410662	NM_005848	DENND4A	10260
hsa-miR-3185	NM_020069	91.75699	NM_020069	ACRV1	56
hsa-miR-3185	NM_199437	99.7819742836675	NM_199437	PRDM10	56980
hsa-miR-3185	NM_001321932	93.449558266	NM_001321932	FGF14	2259
hsa-miR-3185	NM_001195415	84.9176644910425	NM_001195415	DCLK1	9201
hsa-miR-3185	NM_001128166	91.9147	NM_001128166	PAK3	5063
hsa-miR-3185	NM_001321941	93.449558266	NM_001321941	FGF14	2259
hsa-miR-3185	NM_152688	89.0144	NM_152688	KHDRBS2	202559
hsa-miR-3185	NM_004852	87.021727533265	NM_004852	ONECUT2	9480
hsa-miR-3185	NM_182772	80.4591	NM_182772	CREM	1390
hsa-miR-3185	NM_001130692	82.5780973675	NM_001130692	PPP3CA	5530
hsa-miR-3185	NM_001204813	86.5239	NM_001204813	NT5E	4907
hsa-miR-3185	NM_207360	92.0282788545895	NM_207360	ZC3H12D	340152
hsa-miR-3185	NM_005087	81.5424305841566	NM_005087	FXR1	8087
hsa-miR-3185	NM_001174097	80.8356	NM_001174097	LDHB	3945
hsa-miR-3185	NM_001321939	93.449558266	NM_001321939	FGF14	2259
hsa-miR-3185	NM_001204197	90.2482391152	NM_001204197	NBEA	26960
hsa-miR-3185	NM_014729	82.7183347080964	NM_014729	TOX	9760
hsa-miR-3185	NM_001323555	87.8836	NM_001323555	EFR3A	23167
hsa-miR-3185	NM_001321948	93.449558266	NM_001321948	FGF14	2259
hsa-miR-3185	NM_001171508	80.1375021392	NM_001171508	MCFD2	90411
hsa-miR-3185	NM_014574	96.8788372885272	NM_014574	STRN3	29966
hsa-miR-3185	NM_182894	84.3585	NM_182894	VSX2	338917
hsa-miR-3185	NM_001034837	86.1943	NM_001034837	KCNIP1	30820
hsa-miR-3185	NM_148900	98.6980821868873	NM_148900	FOXP2	93986
hsa-miR-3185	NM_001290285	85.3961	NM_001290285	ERCC8	1161
hsa-miR-3185	NM_001013438	81.2042064088846	NM_001013438	FXR1	8087
hsa-miR-3185	NM_182771	80.4591	NM_182771	CREM	1390
hsa-miR-3185	NM_138732	87.7984542356	NM_138732	NRXN2	9379
hsa-miR-3185	NM_005578	91.5992920024405	NM_005578	LPP	4026
hsa-miR-3185	NM_005593	82.7668376214	NM_005593	MYF5	4617
hsa-miR-3185	NM_001288629	82.5171982368	NM_001288629	EPHA7	2045
hsa-miR-3185	NM_001008660	82.7656	NM_001008660	PICALM	8301
hsa-miR-3185	NM_022462	82.5051736085586	NM_022462	HIF3A	64344
hsa-miR-3185	NM_001012710	80.2570548493	NM_001012710	KRTAP5-10	387273
hsa-miR-3185	NM_018364	97.03468900304	NM_018364	RSBN1	54665
hsa-miR-3185	NM_001171201	81.1521	NM_001171201	UBAP1	51271
hsa-miR-3185	NM_001322058	95.4562446005686	NM_001322058	PDE1C	5137
hsa-miR-3185	NM_001278387	84.0441858231191	NM_001278387	SLC38A1	81539
hsa-miR-3185	NM_001193340	87.6507755375	NM_001193340	SLC13A3	64849
hsa-miR-3185	NM_014911	93.0249814618345	NM_014911	AAK1	22848
